submission_id,RT,adj_cond,age,assignment_id,botresponse,comments,condition,context,context_picture,education,enjoyment,experiment_id,fairprice,hit_id,item,languages,picture,problems,question1,question2,response,sentence,sex,size_adj,size_target,startDate,startTime,text,trial_name,trial_number,understand,worker_id
255,,congruent,55,3FDJT1UU75W1HBJIEHT36G2TMB75KX,patricia,This was very interesting,prenominal,You see a parade of animals.,images/birds_parade_small.png,graduated_college,1,6,0.6,3MGHRFQY2LDUJPO5VOJGA9PPI0WY0O,birds,English,images/hummingbird.png,no,That's a small ,,hummingbird,You say to your friend:,female,small,small,Mon Aug 05 2019 16:14:50 GMT-0400 (Eastern Daylight Time),1565036090016,This one is also in the parade.,main1,1,yes,A1BNYBF79IQ89T
255,,congruent,55,3FDJT1UU75W1HBJIEHT36G2TMB75KX,patricia,This was very interesting,prenominal,You see a parade of animals.,images/animal_parade_big.png,graduated_college,1,6,0.6,3MGHRFQY2LDUJPO5VOJGA9PPI0WY0O,dogs,English,images/great-dane.png,no,That's a big ,,dog,You say to your friend:,female,big,big,Mon Aug 05 2019 16:14:50 GMT-0400 (Eastern Daylight Time),1565036090016,This one is also in the parade.,main1,2,yes,A1BNYBF79IQ89T
255,,congruent,55,3FDJT1UU75W1HBJIEHT36G2TMB75KX,patricia,This was very interesting,prenominal,You see a parade of animals.,images/primates_parade_small.png,graduated_college,1,6,0.6,3MGHRFQY2LDUJPO5VOJGA9PPI0WY0O,primates,English,images/spider-monkey.png,no,That's a small ,,monkey,You say to your friend:,female,small,small,Mon Aug 05 2019 16:14:50 GMT-0400 (Eastern Daylight Time),1565036090016,This one is also in the parade.,main1,3,yes,A1BNYBF79IQ89T
255,,congruent,55,3FDJT1UU75W1HBJIEHT36G2TMB75KX,patricia,This was very interesting,prenominal,You see the following items in a landscape.,images/landscape_small.png,graduated_college,1,6,0.6,3MGHRFQY2LDUJPO5VOJGA9PPI0WY0O,trees,English,images/bonsai.png,no,That's a small ,,tree,You say to your friend:,female,small,small,Mon Aug 05 2019 16:14:50 GMT-0400 (Eastern Daylight Time),1565036090016,This one is also in the landscape.,main2,1,yes,A1BNYBF79IQ89T
255,,congruent,55,3FDJT1UU75W1HBJIEHT36G2TMB75KX,patricia,This was very interesting,prenominal,You see a parade of animals.,images/fish_parade_big.png,graduated_college,1,6,0.6,3MGHRFQY2LDUJPO5VOJGA9PPI0WY0O,fish,English,images/swordfish.png,no,That's a big ,,blue and white fish,You say to your friend:,female,big,big,Mon Aug 05 2019 16:14:50 GMT-0400 (Eastern Daylight Time),1565036090016,This one is also in the parade.,main2,2,yes,A1BNYBF79IQ89T
255,,congruent,55,3FDJT1UU75W1HBJIEHT36G2TMB75KX,patricia,This was very interesting,prenominal,You see a collection of plants.,images/plant_parade_big.png,graduated_college,1,6,0.6,3MGHRFQY2LDUJPO5VOJGA9PPI0WY0O,flowers,English,images/sunflower.png,no,That's a big ,,sunflower,You say to your friend:,female,big,big,Mon Aug 05 2019 16:14:50 GMT-0400 (Eastern Daylight Time),1565036090016,This one is also in the collection.,main2,3,yes,A1BNYBF79IQ89T
254,,congruent,28,3ZOTGHDK5JZLD428O5Y468TUK0SSO9,Patricia,,predicative,You see the following items in a landscape.,images/landscape_big.png,graduated_college,1,6,0.60,3B286OTISE50PDRO1QF6PSMEEI0AJY,trees,Spanish,images/redwood.png,none,That , is big.,tree,You say to your friend:,female,big,big,Mon Aug 05 2019 16:05:41 GMT-0400 (Eastern Daylight Time),1565035541012,This one is also in the landscape.,main1,1,yes,AYFOAD75CRBKE
254,,congruent,28,3ZOTGHDK5JZLD428O5Y468TUK0SSO9,Patricia,,predicative,You see a parade of animals.,images/animal_parade_small.png,graduated_college,1,6,0.60,3B286OTISE50PDRO1QF6PSMEEI0AJY,dogs,Spanish,images/chihuahua.png,none,That , is small.,dog,You say to your friend:,female,small,small,Mon Aug 05 2019 16:05:41 GMT-0400 (Eastern Daylight Time),1565035541012,This one is also in the parade.,main1,2,yes,AYFOAD75CRBKE
254,,congruent,28,3ZOTGHDK5JZLD428O5Y468TUK0SSO9,Patricia,,predicative,You see a parade of animals.,images/primates_parade_big.png,graduated_college,1,6,0.60,3B286OTISE50PDRO1QF6PSMEEI0AJY,primates,Spanish,images/gorilla.png,none,That , is big.,gorilla,You say to your friend:,female,big,big,Mon Aug 05 2019 16:05:41 GMT-0400 (Eastern Daylight Time),1565035541012,This one is also in the parade.,main1,3,yes,AYFOAD75CRBKE
254,,congruent,28,3ZOTGHDK5JZLD428O5Y468TUK0SSO9,Patricia,,predicative,You see a parade of animals.,images/fish_parade_big.png,graduated_college,1,6,0.60,3B286OTISE50PDRO1QF6PSMEEI0AJY,fish,Spanish,images/swordfish.png,none,That , is big.,swordfish,You say to your friend:,female,big,big,Mon Aug 05 2019 16:05:41 GMT-0400 (Eastern Daylight Time),1565035541012,This one is also in the parade.,main2,1,yes,AYFOAD75CRBKE
254,,congruent,28,3ZOTGHDK5JZLD428O5Y468TUK0SSO9,Patricia,,predicative,You see a parade of animals.,images/birds_parade_small.png,graduated_college,1,6,0.60,3B286OTISE50PDRO1QF6PSMEEI0AJY,birds,Spanish,images/hummingbird.png,none,That , is small.,hummingbird,You say to your friend:,female,small,small,Mon Aug 05 2019 16:05:41 GMT-0400 (Eastern Daylight Time),1565035541012,This one is also in the parade.,main2,2,yes,AYFOAD75CRBKE
