submission_id,RT,adj_cond,age,botresponse,comments,condition,context,context_picture,education,enjoyment,experiment_id,fairprice,item,languages,picture,problems,question1,question2,response,sentence,sex,size_adj,size_target,startTime,text,trial_name,trial_number,understand
255,NA,congruent,55,patricia,This was very interesting,prenominal,You see a parade of animals.,images/birds_parade_small.png,graduated_college,1,6,0.6,birds,English,images/hummingbird.png,no,That's a small,NA,hummingbird,You say to your friend:,female,small,small,1565036090016,This one is also in the parade.,main1,1,yes
255,NA,congruent,55,patricia,This was very interesting,prenominal,You see a parade of animals.,images/animal_parade_big.png,graduated_college,1,6,0.6,dogs,English,images/great-dane.png,no,That's a big,NA,dog,You say to your friend:,female,big,big,1565036090016,This one is also in the parade.,main1,2,yes
255,NA,congruent,55,patricia,This was very interesting,prenominal,You see a parade of animals.,images/primates_parade_small.png,graduated_college,1,6,0.6,primates,English,images/spider-monkey.png,no,That's a small,NA,monkey,You say to your friend:,female,small,small,1565036090016,This one is also in the parade.,main1,3,yes
255,NA,congruent,55,patricia,This was very interesting,prenominal,You see the following items in a landscape.,images/landscape_small.png,graduated_college,1,6,0.6,trees,English,images/bonsai.png,no,That's a small,NA,tree,You say to your friend:,female,small,small,1565036090016,This one is also in the landscape.,main2,1,yes
255,NA,congruent,55,patricia,This was very interesting,prenominal,You see a parade of animals.,images/fish_parade_big.png,graduated_college,1,6,0.6,fish,English,images/swordfish.png,no,That's a big,NA,blue and white fish,You say to your friend:,female,big,big,1565036090016,This one is also in the parade.,main2,2,yes
255,NA,congruent,55,patricia,This was very interesting,prenominal,You see a collection of plants.,images/plant_parade_big.png,graduated_college,1,6,0.6,flowers,English,images/sunflower.png,no,That's a big,NA,sunflower,You say to your friend:,female,big,big,1565036090016,This one is also in the collection.,main2,3,yes
254,NA,congruent,28,Patricia,NA,predicative,You see the following items in a landscape.,images/landscape_big.png,graduated_college,1,6,0.60,trees,Spanish,images/redwood.png,none,That,is big.,tree,You say to your friend:,female,big,big,1565035541012,This one is also in the landscape.,main1,1,yes
254,NA,congruent,28,Patricia,NA,predicative,You see a parade of animals.,images/animal_parade_small.png,graduated_college,1,6,0.60,dogs,Spanish,images/chihuahua.png,none,That,is small.,dog,You say to your friend:,female,small,small,1565035541012,This one is also in the parade.,main1,2,yes
254,NA,congruent,28,Patricia,NA,predicative,You see a parade of animals.,images/primates_parade_big.png,graduated_college,1,6,0.60,primates,Spanish,images/gorilla.png,none,That,is big.,gorilla,You say to your friend:,female,big,big,1565035541012,This one is also in the parade.,main1,3,yes
254,NA,congruent,28,Patricia,NA,predicative,You see a parade of animals.,images/fish_parade_big.png,graduated_college,1,6,0.60,fish,Spanish,images/swordfish.png,none,That,is big.,swordfish,You say to your friend:,female,big,big,1565035541012,This one is also in the parade.,main2,1,yes
254,NA,congruent,28,Patricia,NA,predicative,You see a parade of animals.,images/birds_parade_small.png,graduated_college,1,6,0.60,birds,Spanish,images/hummingbird.png,none,That,is small.,hummingbird,You say to your friend:,female,small,small,1565035541012,This one is also in the parade.,main2,2,yes
254,NA,congruent,28,Patricia,NA,predicative,You see a collection of plants.,images/plant_parade_small.png,graduated_college,1,6,0.60,flowers,Spanish,images/daisy.png,none,That,is small.,dandelion,You say to your friend:,female,small,small,1565035541012,This one is also in the collection.,main2,3,yes
253,NA,incongruent,25,susan,n/a,prenominal,You see a parade of animals.,images/birds_parade_big.png,graduated_high_school,1,6,0.50,birds,English,images/swan.png,no,That's a small,NA,goose,You say to your friend:,male,small,big,1565034977301,This one is also in the parade.,main1,1,yes
253,NA,incongruent,25,susan,n/a,prenominal,You see a parade of animals.,images/fish_parade_small.png,graduated_high_school,1,6,0.50,fish,English,images/goldfish.png,no,That's a big,NA,fish,You say to your friend:,male,big,small,1565034977301,This one is also in the parade.,main1,2,yes
253,NA,incongruent,25,susan,n/a,prenominal,You see a parade of animals.,images/primates_parade_small.png,graduated_high_school,1,6,0.50,primates,English,images/spider-monkey.png,no,That's a big,NA,monkey,You say to your friend:,male,big,small,1565034977301,This one is also in the parade.,main1,3,yes
253,NA,incongruent,25,susan,n/a,prenominal,You see a parade of animals.,images/animal_parade_small.png,graduated_high_school,1,6,0.50,dogs,English,images/chihuahua.png,no,That's a big,NA,dog,You say to your friend:,male,big,small,1565034977301,This one is also in the parade.,main2,1,yes
253,NA,incongruent,25,susan,n/a,prenominal,You see the following items in a landscape.,images/landscape_big.png,graduated_high_school,1,6,0.50,trees,English,images/redwood.png,no,That's a small,NA,tree,You say to your friend:,male,small,big,1565034977301,This one is also in the landscape.,main2,2,yes
253,NA,incongruent,25,susan,n/a,prenominal,You see a collection of plants.,images/plant_parade_big.png,graduated_high_school,1,6,0.50,flowers,English,images/sunflower.png,no,That's a small,NA,flower,You say to your friend:,male,small,big,1565034977301,This one is also in the collection.,main2,3,yes
252,NA,congruent,33,margaret,NA,predicative,You see a parade of animals.,images/fish_parade_small.png,some_college,1,6,1.00,fish,English,images/goldfish.png,NA,That,is small.,goldfish,You say to your friend:,male,small,small,1565034865884,This one is also in the parade.,main1,1,yes
252,NA,congruent,33,margaret,NA,predicative,You see a parade of animals.,images/primates_parade_big.png,some_college,1,6,1.00,primates,English,images/gorilla.png,NA,That,is big.,Gorilla,You say to your friend:,male,big,big,1565034865884,This one is also in the parade.,main1,2,yes
252,NA,congruent,33,margaret,NA,predicative,You see the following items in a landscape.,images/landscape_big.png,some_college,1,6,1.00,trees,English,images/redwood.png,NA,That,is big.,tree,You say to your friend:,male,big,big,1565034865884,This one is also in the landscape.,main1,3,yes
252,NA,congruent,33,margaret,NA,predicative,You see a collection of plants.,images/plant_parade_small.png,some_college,1,6,1.00,flowers,English,images/daisy.png,NA,That,is small.,Leaf,You say to your friend:,male,small,small,1565034865884,This one is also in the collection.,main2,1,yes
252,NA,congruent,33,margaret,NA,predicative,You see a parade of animals.,images/birds_parade_small.png,some_college,1,6,1.00,birds,English,images/hummingbird.png,NA,That,is small.,Hummingbird,You say to your friend:,male,small,small,1565034865884,This one is also in the parade.,main2,2,yes
252,NA,congruent,33,margaret,NA,predicative,You see a parade of animals.,images/animal_parade_big.png,some_college,1,6,1.00,dogs,English,images/great-dane.png,NA,That,is big.,dog,You say to your friend:,male,big,big,1565034865884,This one is also in the parade.,main2,3,yes
251,NA,congruent,22,Margaret,NA,predicative,You see a collection of plants.,images/plant_parade_small.png,graduated_college,1,6,.50,flowers,english,images/daisy.png,NA,That,is small.,plant,You say to your friend:,male,small,small,1565034856944,This one is also in the collection.,main1,1,confused
251,NA,congruent,22,Margaret,NA,predicative,You see the following items in a landscape.,images/landscape_big.png,graduated_college,1,6,.50,trees,english,images/redwood.png,NA,That,is big.,tree,You say to your friend:,male,big,big,1565034856944,This one is also in the landscape.,main1,2,confused
251,NA,congruent,22,Margaret,NA,predicative,You see a parade of animals.,images/animal_parade_small.png,graduated_college,1,6,.50,dogs,english,images/chihuahua.png,NA,That,is small.,animal,You say to your friend:,male,small,small,1565034856944,This one is also in the parade.,main1,3,confused
251,NA,congruent,22,Margaret,NA,predicative,You see a parade of animals.,images/fish_parade_small.png,graduated_college,1,6,.50,fish,english,images/goldfish.png,NA,That,is small.,fish,You say to your friend:,male,small,small,1565034856944,This one is also in the parade.,main2,1,confused
251,NA,congruent,22,Margaret,NA,predicative,You see a parade of animals.,images/primates_parade_big.png,graduated_college,1,6,.50,primates,english,images/gorilla.png,NA,That,is big.,animal,You say to your friend:,male,big,big,1565034856944,This one is also in the parade.,main2,2,confused
251,NA,congruent,22,Margaret,NA,predicative,You see a parade of animals.,images/birds_parade_big.png,graduated_college,1,6,.50,birds,english,images/swan.png,NA,That,is big.,bird,You say to your friend:,male,big,big,1565034856944,This one is also in the parade.,main2,3,confused
250,NA,congruent,61,Jessica,NA,predicative,You see the following items in a landscape.,images/landscape_small.png,some_college,2,6,.50,trees,English,images/bonsai.png,no,That,is small.,tree,You say to your friend:,female,small,small,1565034638730,This one is also in the landscape.,main1,1,yes
250,NA,congruent,61,Jessica,NA,predicative,You see a parade of animals.,images/primates_parade_big.png,some_college,2,6,.50,primates,English,images/gorilla.png,no,That,is big.,gorilla,You say to your friend:,female,big,big,1565034638730,This one is also in the parade.,main1,2,yes
250,NA,congruent,61,Jessica,NA,predicative,You see a parade of animals.,images/birds_parade_big.png,some_college,2,6,.50,birds,English,images/swan.png,no,That,is big.,swan,You say to your friend:,female,big,big,1565034638730,This one is also in the parade.,main1,3,yes
